>	GMT_LONLAT										
>#	Data	from	the	full	resolution	GMT	shoreline,	borders,	and	rivers	database
>	Shore	Bin	#	18957,	Level	1					
-122.176714733	37.6812542916	0	0								
-122.175890745	37.6804455634	0	0								
-122.174242771	37.6804150454	0	0								
-122.173800259	37.6799725338	0	0								
-122.173800259	37.6791638056	0	0								
-122.173388266	37.678751812	0	0								
-122.172503243	37.678751812	0	0								
-122.168825818	37.6749370565	0	0								
-122.168825818	37.6741435874	0	0								
-122.167971313	37.6733348592	0	0								
-122.167971313	37.672465095	0	0								
-122.16583505	37.6704203861	0	0								
-122.164187076	37.670389868	0	0								
-122.163744564	37.6699931334	0	0								
-122.1638056	37.6674753948	0	0								
-122.162920577	37.6666666667	0	0								
-122.162951095	37.6649423972	0	0								
-122.162111849	37.664133669	0	0								
-122.162111849	37.6633401999	0	0								
-122.161257343	37.6624704356	0	0								
-122.161272602	37.659937438	0	0								
-122.160418097	37.6591439689	0	0								
-122.160448615	37.6574959945	0	0								
-122.159578851	37.6566109712	0	0								
-122.159578851	37.6558327611	0	0								
-122.158785382	37.6549477379	0	0								
-122.158785382	37.6541695277	0	0								
-122.158007172	37.6533607996	0	0								
-122.157915618	37.6525062943	0	0								
-122.157106889	37.6516365301	0	0								
-122.157076371	37.6491645686	0	0								
-122.15631342	37.6483558404	0	0								
-122.157076371	37.6475013352	0	0								
-122.157106889	37.6466315709	0	0								
-122.158785382	37.6449988556	0	0								
-122.157610437	37.6437170977	0	0								
-122.156694896	37.6437170977	0	0								
-122.15631342	37.6433356222	0	0								
-122.15631342	37.642526894	0	0								
-122.155443656	37.6416723888	0	0								
-122.155443656	37.6399938964	0	0								
-122.15460441	37.6391393912	0	0								
-122.155474174	37.6382848859	0	0								
-122.15553521	37.629968719	0	0								
-122.152971695	37.6274509804	0	0								
-122.152971695	37.6266422522	0	0								
-122.152086671	37.6258335241	0	0								
-122.152132448	37.6216678111	0	0								
-122.153002213	37.6208133059	0	0								
-122.152971695	37.6200045777	0	0								
-122.155413138	37.6175020981	0	0								
-122.153368429	37.6154116121	0	0								
-122.150911727	37.6154116121	0	0								
-122.150499733	37.6149996185	0	0								
-122.150423438	37.6132753491	0	0								
-122.149645228	37.6124666209	0	0								
